Record Type|Document Number|Local Report Number|Crash Severity|Private Property Indicator|Hit/Skip|Photos Taken|Reporting Agency NCIC|Number of Units|Unit in Error|Crash Date|Time of Crash|Day of Week|In City, Village, Township|FIPS Place Code|Enter Name of City, Village, Township|County|Latitude|Longitude|Crash/Loc Prefix|Location Road Name|Location Road Type|Distance from Reference|Direction from Reference|Ref Road Prefix|Reference Road Name|Reference Route Type|Reference Point Used|Crash Location|Location of First Harmful Event|Road Contour|Road Conditions - Primary|Road Conditions - Secondary|Manner of Crash Collision/Impact|Weather|Light Conditions - Primary|Light Conditions - Secondary|School Bus Related|Work Zone Related|Type of Work Zone|Location of Crash in Work Zone|Workers Present|Road Surface|Number of Lanes|Alcohol Related|Drug Related|Total Injured|Total Killed|Animal Related|Bicycle Related|Motorcycle Related|Speed Related|Pedestrian Related|Semi-Truck Related|Small Truck Related|Youth Related|Teen Related|Drinking Driver <21 Related|Senior Related|Local Information|Divided/Undivided roadway|Divided Lane Direction of Travel|Location Route Number|Location Route Type|Distance from Reference Measurement|Reference Route Number|Intersection Related|School Zone Related|Law Enforcement Present in Work Zone|Reference Road Type
C|20146005403|52-0085-52|3|0|0|1|OHP52|1|1|1112014|1619|7|3|48790|Medina|52|41.140168|81.79255||||0.1|N||219||2|1|1|1|1||1|2|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||1|N|71|IR|1||0|0|1|MP
C|20146005503|140043872|2|0|0|0|COP00|2|2|1162014|1622|5|1|18000|Columbus|25|40.07022|82.92616||Westerville|RD|100.0|S||French Park||1|1|1|1|3||3|6|3||1|0|0|0|0.0|2|3|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1/62|2||||2||0|0|1|DR
C|20146005603|48-0074-48|3|0|0|1|OHP48|1|1|1062014|755|2|3|74123|Springfield (Township of)|48|41.61498|83.69114||||0.2|S||9||2|1|4|1|3||1|1|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||1|N|475|IR|1||0|0|1|MP
C|20146005703|140025838|3|0|0|0|COP00|2|2|1102014|1025|6|1|18000|Columbus|25|39.985874|82.81535||Brice|RD|10.0|W||Reynoldsburg New Albany||1|3|1|1|2||6|2|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0||2||||2||0|0|1|RD
C|20146005803|140046246|3|0|2|0|COP00|2|2|1172014|1327|6|1|18000|Columbus|25|40.031814|82.98297||Howey|RD|200.0|S||OAKLAND PARK||1|1|1|1|3||7|6|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||||2||0|0|1|AV
C|20146005903|12-0094-12|3|0|0|1|OHP12|1|98|1162014|2300|5|3|6054|Bethel (Township of)|12|39.919968|84.00849000000002||||0.1|E||3||2|1|1|1|2||1|2|5||1|0|0|0|0.0|2|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0||2||571|SR|1||0|0|1|MP
C|20146006003|57-0108-57|3|0|0|1|OHP57|2|2|1172014|1510|6|3|49392|Miami (Township of)|57|39.596762|84.24395||Austin|BL|0.0|||Austin West||1|3|1|1|4|2.0|6|2|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0||2||||0||1|0|1|BL
C|20146006103|71-0104-71|3|0|1|1|OHP71|2|1|1172014|1049|6|3|70898|Scioto (Township of)|71|39.338103|83.02891||||0.0||||US|1|3|1|1|3||6|6|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0||2||0015|TR|0|0050|0|0|1|
C|20146006203|71-0107-66|2|0|0|1|OHP71|1|1|1172014|1643|6|3|75637|Sunfish (Township of)|66|39.076014|83.15385||||1.1|W|||SR|1|1|4|2|3||1|6|1||1|0|0|0|0.0|2|2|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0||2||1|CR|1|124|0|0|1|
C|20146006303|55-0053-55|3|0|0|1|OHP55|2|1|1182014|1818|7|3|51492|Monroe (Township of)|55|39.934048|84.18871||||0.1|N||66||2|1|1|1|2|3.0|7|6|4||1|0|0|0|0.0|2|3|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0||1|S|75|IR|1||0|0|1|MP
