date,team
20180702,LAN
20180702,MIA
20180702,MIL
20180702,BOS
20180702,CLE
20180702,ATL
20180702,DET
20180703,ARI
20180703,CHN
20180703,CHA
20180703,COL
20180703,LAN
20180703,TBA
20180703,MIL
20180703,PHI
20180703,BOS
20180703,CLE
20180703,NYA
20180703,OAK
20180703,SEA
20180703,HOU
20180703,TOR
20180704,SLN
20180704,CHN
20180704,CIN
20180704,COL
20180704,LAN
20180704,MIA
20180704,MIL
20180704,PHI
20180704,BOS
20180704,CLE
20180704,NYA
20180704,OAK
20180704,ANA
20180704,HOU
20180704,NYN
20180705,SDN
20180705,MIL
20180705,SLN
20180705,WAS
20180705,TEX
20180705,HOU
20180705,MIN
20180705,SEA
20180706,ARI
20180706,CIN
20180706,MIL
20180706,NYN
20180706,PHI
20180706,SFN
20180706,WAS
20180706,ANA
20180706,CLE
20180706,DET
20180706,HOU
20180706,BOS
20180706,MIN
20180706,COL
20180706,TOR
20180707,ARI
20180707,CHN
20180707,ATL
20180707,TBA
20180707,PHI
20180707,SLN
20180707,WAS
20180707,LAN
20180707,OAK
20180707,DET
20180707,HOU
20180707,BOS
20180707,MIN
20180707,COL
20180707,NYA
20180708,SDN
20180708,CHN
20180708,MIL
20180708,TBA
20180708,PIT
20180708,SFN
20180708,MIA
20180708,ANA
20180708,OAK
20180708,TEX
20180708,HOU
20180708,BOS
20180708,MIN
20180708,SEA
20180708,NYA
20180709,MIA
20180709,NYN
20180709,PHI
20180709,PIT
20180709,LAN
20180709,SFN
20180709,BAL
20180709,NYA
20180709,BOS
20180709,CIN
20180709,OAK
20180709,MIN
20180709,TBA
20180710,TOR
20180710,ARI
20180710,MIL
20180710,PHI
20180710,WAS
20180710,SDN
20180710,CHN
20180710,ANA
20180710,BAL
20180710,BOS
20180710,SLN
20180710,CIN
20180710,HOU
20180710,KCA
20180710,TBA
20180711,ATL
20180711,COL
20180711,MIA
20180711,NYN
20180711,PIT
20180711,LAN
20180711,SFN
20180711,SEA
20180711,NYA
20180711,BOS
20180711,CHA
