maxTemp,minTemp,wind,longitude,latitude
35.99,22.11,18.3,-86.4,45.9
36.0,21.54,17.88,-86.4,46.0
36.08,21.39,17.9,-86.4,46.1
36.33,20.98,16.95,-86.4,46.2
36.43,20.11,18.3,-86.4,46.3
36.48,20.03,19.48,-86.4,46.4
36.5,19.96,20.18,-86.4,46.5
50.99,38.85,20.35,-86.3,41.8
50.53,39.46,20.87,-86.3,41.9
49.76,40.09,21.42,-86.3,42.0
49.14,40.62,21.89,-86.3,42.1
48.75,40.61,21.63,-86.3,42.2
47.78,40.55,20.89,-86.3,42.3
41.79,37.26,23.21,-86.3,43.2
41.03,36.34,23.29,-86.3,43.3
40.82,35.79,22.67,-86.3,43.4
39.97,35.03,22.69,-86.3,43.5
39.77,34.77,22.64,-86.3,43.6
39.69,34.56,22.54,-86.3,43.7
39.51,34.19,22.1,-86.3,43.8
39.43,33.94,21.63,-86.3,43.9
39.45,33.84,22.04,-86.3,44.0
39.57,33.66,23.01,-86.3,44.1
39.68,33.48,23.77,-86.3,44.2
39.67,32.91,23.51,-86.3,44.3
35.82,21.25,17.35,-86.3,46.0
36.0,21.21,17.74,-86.3,46.1
36.11,20.93,17.73,-86.3,46.2
36.19,20.27,19.89,-86.3,46.3
36.29,20.16,20.48,-86.3,46.4
36.34,20.08,21.31,-86.3,46.5
36.45,19.97,21.73,-86.3,46.6
51.09,38.95,20.4,-86.2,41.8
50.65,39.38,20.74,-86.2,41.9
49.67,39.85,21.31,-86.2,42.0
49.25,40.12,21.44,-86.2,42.1
48.63,40.33,21.55,-86.2,42.2
47.83,40.46,20.92,-86.2,42.3
46.91,40.58,21.01,-86.2,42.4
46.95,40.52,21.94,-86.2,42.5
46.63,39.99,22.4,-86.2,42.6
46.3,39.59,23.16,-86.2,42.7
45.62,39.22,23.84,-86.2,42.8
44.48,38.61,22.6,-86.2,42.9
43.72,37.98,22.52,-86.2,43.0
43.58,37.68,21.99,-86.2,43.1
42.99,37.3,21.67,-86.2,43.2
41.38,36.1,22.54,-86.2,43.3
41.11,35.55,22.39,-86.2,43.4
40.49,35.08,22.57,-86.2,43.5
39.76,34.73,22.56,-86.2,43.6
39.67,34.54,22.52,-86.2,43.7
39.68,34.31,22.41,-86.2,43.8
39.43,33.78,21.97,-86.2,43.9
39.47,33.7,22.29,-86.2,44.0
39.44,33.36,22.61,-86.2,44.1
39.64,33.15,22.85,-86.2,44.2
39.61,32.54,22.83,-86.2,44.3
39.39,32.2,22.59,-86.2,44.4
39.29,31.64,21.63,-86.2,44.5
39.66,31.13,20.31,-86.2,44.6
39.41,31.05,20.82,-86.2,44.7
